mission_id,scenario,deviation_at_handover_m,matched_baseline_row,match_residual_m,along_track_lag_rows,along_track_lag_m,along_track_lag_s,baseline_duration_s,mission_delay_pct,recovered_within_5m
M0340,S2,3.5860332876422154,1473,3.121280213071913,-4,-1.8882868720097576,-0.2,73.65,0.0,1
M0341,S2,4.404732925944822,533,4.326302313540648,-3,-1.0417646441505894,-0.15,26.65,0.0,1
M0342,S2,5.408310392003474,1135,4.91205569988871,-5,-2.450108434267918,-0.25,56.75,0.0,0
M0343,S2,0.9997151509336328,3546,0.8478491562869572,-1,-0.3742229997496906,-0.05,177.3,0.0,1
M0344,S2,1.2585296482976926,1373,0.1803051303654637,-3,-1.1958513583198285,-0.15,68.65,0.0,1
M0345,S2,3.630464034086948,3473,2.041394854693811,-6,-2.747687732351324,-0.3,173.65,0.0,1
M0346,S2,4.276105495780853,2890,0.6034419877457339,-11,-4.340696080305861,-0.55,144.5,0.0,1
M0347,S2,4.378062786251671,1707,1.232911336639755,-10,-4.125799161306418,-0.5,85.35000000000001,0.0,1
M0348,S2,5.181582683282012,1284,1.6679579982367905,-10,-5.049925806293118,-0.5,64.2,0.0,0
M0349,S2,3.806956048802462,2435,0.5091882574737868,-12,-3.9029671080613753,-0.6000000000000001,121.75,0.0,1
M0350,S2,10.682564710154423,3357,10.107765832579378,-7,-3.441349644082038,-0.35,167.85000000000002,0.0,0
M0351,S2,5.3219349086557015,753,5.121029759427753,-4,-1.6285801492017526,-0.2,37.65,0.0,0
M0352,S2,3.271602012251015,1690,1.5205881526737828,-8,-2.844000319766792,-0.4,84.5,0.0,1
M0353,S2,3.8903094790104222,2046,2.1340625647942804,-10,-3.164273423997429,-0.5,102.3,0.0,1
M0354,S2,9.972748338576627,2219,9.874692468622364,-3,-1.52455230788496,-0.15,110.95,0.0,0
M0355,S2,3.852337333239836,517,3.78473798217432,-2,-0.794067582948145,-0.1,25.85,0.0,1
M0356,S2,2.6867387198822885,2022,0.2298007653356276,-7,-2.804868485927273,-0.35,101.1,0.0,1
M0357,S2,4.732702054023534,1383,1.3235192915676643,-10,-4.6261181514170175,-0.5,69.15,0.0,1
M0358,S2,2.236031062073826,3036,0.7130089592440985,-7,-2.1825382420855703,-0.35,151.8,0.0,1
M0359,S2,5.927324946478079,1808,5.825996533285064,-3,-1.0719983123872223,-0.15,90.4,0.0,0
M0360,S2,3.506908077370828,713,2.125910953916585,-6,-2.909875813380665,-0.3,35.65,0.0,1
M0361,S2,10.088074255545544,2554,1.3951103768956574,22,9.880083498231444,1.1,127.7,0.8613938919342208,0
M0362,S2,3.627511900114406,2357,0.3279992471113189,-9,-3.4499082732901343,-0.45,117.85,0.0,1
M0363,S2,3.0438102572347523,1040,1.878919846640802,-6,-2.5699155875324777,-0.3,52.0,0.0,1
M0364,S2,1.9068502186925465,2437,0.2207312481609372,-5,-1.933359608398632,-0.25,121.85,0.0,1
M0365,S2,6.239671369224145,874,5.69287248173184,-8,-2.649509440451425,-0.4,43.7,0.0,0
M0366,S2,6.232950745335367,2045,2.4943391534988324,-16,-5.146339205497839,-0.8,102.25,0.0,0
M0367,S2,12.066080123962236,1786,6.073501147327031,32,10.100003359617403,1.6,89.30000000000001,1.7917133258678613,0
M0368,S2,5.2317545517954,966,5.135662289407961,2,0.869874468969499,0.1,48.3,0.2070393374741201,0
